screen,protein_1,protein_2,iLIS_best,iLIS_avg,ipTM_best,ipTM_avg,bundle
PTBP1,FUBP3,FAM50A,0.3366,0.0673,0.41,0.19,PTBP1/FUBP3___FAM50A.zip
PTBP1,ANP32A,FAM50A,0.3359,0.1361,0.48,0.308,PTBP1/ANP32A___FAM50A.zip
PTBP1,SF1,LUC7L2,0.3336,0.1947,0.52,0.38,PTBP1/SF1___LUC7L2.zip
PTBP1,TLE3,PPP1R10,0.3332,0.1946,0.41,0.31,PTBP1/TLE3___PPP1R10.zip
PTBP1,ZFR,HMGB1,0.3321,0.0664,0.39,0.242,PTBP1/ZFR___HMGB1.zip
PTBP1,XRN2,SAFB,0.3315,0.1568,0.52,0.356,PTBP1/XRN2___SAFB.zip
PTBP1,CIZ1,RB1,0.3309,0.197,0.48,0.372,PTBP1/CIZ1___RB1.zip
PTBP1,PTBP3,TLE3,0.3303,0.1913,0.35,0.294,PTBP1/PTBP3___TLE3.zip
PTBP1,FUS,SRSF11,0.3296,0.0659,0.18,0.14,PTBP1/FUS___SRSF11.zip
PTBP1,SF1,ANP32A,0.329,0.0681,0.52,0.292,PTBP1/SF1___ANP32A.zip
PTBP1,SUGP2,GFP,0.3285,0.0657,0.72,0.344,PTBP1/SUGP2___GFP.zip
PTBP1,RAVER1,RBM33,0.3276,0.0655,0.42,0.248,PTBP1/RAVER1___RBM33.zip
PTBP1,NASP,STIP1,0.3272,0.0981,0.39,0.272,PTBP1/NASP___STIP1.zip
PTBP1,MATR3,XRN2,0.3268,0.1687,0.56,0.41,PTBP1/MATR3___XRN2.zip
PTBP1,MATR3,HMGB1,0.3259,0.0652,0.43,0.226,PTBP1/MATR3___HMGB1.zip
PTBP1,SUPT5H,ZBTB33,0.3253,0.1588,0.27,0.266,PTBP1/SUPT5H___ZBTB33.zip
PTBP1,STIP1,ANP32A,0.323,0.1737,0.3,0.266,PTBP1/STIP1___ANP32A.zip
PTBP1,FUS,GFP,0.3214,0.0751,0.69,0.39,PTBP1/FUS___GFP.zip
PTBP1,U2SURP,DHX15,0.3212,0.3014,0.57,0.6,PTBP1/U2SURP___DHX15.zip
PTBP1,PRMT1,RBM4,0.321,0.1098,0.6,0.342,PTBP1/PRMT1___RBM4.zip
PTBP1,SF3B2,PPP1R10,0.3192,0.1395,0.24,0.214,PTBP1/SF3B2___PPP1R10.zip
PTBP1,FUS,ZBTB33,0.3191,0.0638,0.26,0.186,PTBP1/FUS___ZBTB33.zip
PTBP1,ANP32A,ZBTB33,0.3186,0.0977,0.52,0.316,PTBP1/ANP32A___ZBTB33.zip
PTBP1,NASP,SAFB,0.3185,0.1742,0.32,0.278,PTBP1/NASP___SAFB.zip
PTBP1,MATR3,TLE3,0.3176,0.0717,0.4,0.266,PTBP1/MATR3___TLE3.zip
PTBP1,FUS,U2SURP,0.3167,0.1594,0.23,0.212,PTBP1/FUS___U2SURP.zip
PTBP1,EPB41,CCNT1,0.3156,0.2651,0.4,0.39,PTBP1/EPB41___CCNT1.zip
PTBP1,EDC3,RBM4,0.3155,0.127,0.42,0.344,PTBP1/EDC3___RBM4.zip
PTBP1,NASP,TLE3,0.3145,0.2513,0.33,0.332,PTBP1/NASP___TLE3.zip
PTBP1,SMAP,RBM4,0.3095,0.0688,0.25,0.164,PTBP1/SMAP___RBM4.zip
PTBP1,SF3A3,RBM33,0.309,0.1404,0.45,0.35,PTBP1/SF3A3___RBM33.zip
PTBP1,EPB41,LUC7L2,0.3071,0.2376,0.34,0.324,PTBP1/EPB41___LUC7L2.zip
PTBP1,SUGP2,ATP5PD,0.3056,0.1529,0.48,0.41,PTBP1/SUGP2___ATP5PD.zip
PTBP1,CSTB,SF1,0.3052,0.061,0.73,0.27,PTBP1/CSTB___SF1.zip
PTBP1,SUPT5H,CCNT1,0.3047,0.087,0.35,0.28,PTBP1/SUPT5H___CCNT1.zip
PTBP1,NASP,ZNF503,0.3029,0.2189,0.32,0.282,PTBP1/NASP___ZNF503.zip
PTBP1,NASP,CCNT1,0.3018,0.0849,0.31,0.264,PTBP1/NASP___CCNT1.zip
PTBP1,DAZAP1,AGAP3,0.3016,0.0993,0.31,0.226,PTBP1/DAZAP1___AGAP3.zip
PTBP1,ANP32A,CDC5L,0.3016,0.0603,0.54,0.25,PTBP1/ANP32A___CDC5L.zip
PTBP1,CCAR2,CCNT1,0.3016,0.0635,0.34,0.234,PTBP1/CCAR2___CCNT1.zip
PTBP1,CDC37,FAM50A,0.3003,0.0832,0.33,0.226,PTBP1/CDC37___FAM50A.zip
PTBP1,PRMT1,KHSRP,0.2965,0.0593,0.61,0.308,PTBP1/PRMT1___KHSRP.zip
PTBP1,CIZ1,DDX17,0.2961,0.0681,0.44,0.286,PTBP1/CIZ1___DDX17.zip
PTBP1,CCNT1,DAZAP1,0.2955,0.127,0.28,0.248,PTBP1/CCNT1___DAZAP1.zip
PTBP1,NASP,RB1,0.2943,0.1245,0.36,0.286,PTBP1/NASP___RB1.zip
PTBP1,MATR3,SFPQ,0.2936,0.0723,0.32,0.248,PTBP1/MATR3___SFPQ.zip
PTBP1,TLE3,FUS,0.2921,0.1752,0.41,0.328,PTBP1/TLE3___FUS.zip
PTBP1,ZNF503,RBM33,0.2896,0.1913,0.21,0.212,PTBP1/ZNF503___RBM33.zip
PTBP1,KHSRP,CCNT1,0.2895,0.0579,0.34,0.238,PTBP1/KHSRP___CCNT1.zip
PTBP1,CCAR2,RB1,0.2877,0.2718,0.45,0.466,PTBP1/CCAR2___RB1.zip
PTBP1,PPP1R10,PTBP1,0.2871,0.1746,0.28,0.25,PTBP1/PPP1R10___PTBP1.zip
PTBP1,NASP,U2SURP,0.2869,0.0958,0.28,0.238,PTBP1/NASP___U2SURP.zip
PTBP1,ZFR,NCL,0.2869,0.13,0.33,0.266,PTBP1/ZFR___NCL.zip
PTBP1,NASP,DNAJA1,0.2862,0.1281,0.48,0.296,PTBP1/NASP___DNAJA1.zip
PTBP1,ANP32A,DNAJA1,0.2855,0.0571,0.34,0.166,PTBP1/ANP32A___DNAJA1.zip
PTBP1,SF1,U2SURP,0.2847,0.1876,0.28,0.248,PTBP1/SF1___U2SURP.zip
PTBP1,FAM50A,CDC5L,0.2834,0.1376,0.35,0.238,PTBP1/FAM50A___CDC5L.zip
PTBP1,SUGP2,SET,0.2832,0.1145,0.53,0.368,PTBP1/SUGP2___SET.zip
PTBP1,CIZ1,ANP32A,0.2832,0.0797,0.46,0.356,PTBP1/CIZ1___ANP32A.zip
PTBP1,FUBP1,U2SURP,0.2825,0.0849,0.29,0.244,PTBP1/FUBP1___U2SURP.zip
PTBP1,PDK1,SRSF11,0.2822,0.2526,0.47,0.47,PTBP1/PDK1___SRSF11.zip
PTBP1,STIP1,PPP1R10,0.2819,0.1458,0.35,0.282,PTBP1/STIP1___PPP1R10.zip
PTBP1,NASP,AGAP3,0.2809,0.1111,0.33,0.254,PTBP1/NASP___AGAP3.zip
PTBP1,MATR3,PPP1R10,0.2808,0.1616,0.25,0.232,PTBP1/MATR3___PPP1R10.zip
PTBP1,SMAP,SUPT5H,0.2808,0.0737,0.31,0.232,PTBP1/SMAP___SUPT5H.zip
PTBP1,CHERP,PCCA,0.2803,0.164,0.47,0.364,PTBP1/CHERP___PCCA.zip
PTBP1,AGAP3,PTBP1,0.279,0.0558,0.29,0.204,PTBP1/AGAP3___PTBP1.zip
PTBP1,SUGP2,ZNF503,0.2788,0.0558,0.26,0.204,PTBP1/SUGP2___ZNF503.zip
PTBP1,SF1,FUBP3,0.2785,0.1752,0.27,0.234,PTBP1/SF1___FUBP3.zip
PTBP1,CDK4,TXN,0.2781,0.0917,0.62,0.316,PTBP1/CDK4___TXN.zip
PTBP1,EPB41,RB1,0.278,0.0556,0.44,0.28,PTBP1/EPB41___RB1.zip
PTBP1,SF3B2,EPB41,0.2774,0.1653,0.37,0.31,PTBP1/SF3B2___EPB41.zip
PTBP1,CIZ1,EPB41,0.2774,0.101,0.37,0.292,PTBP1/CIZ1___EPB41.zip
PTBP1,EPB41,NCL,0.2774,0.0555,0.36,0.22,PTBP1/EPB41___NCL.zip
PTBP1,TLE3,DAZAP1,0.276,0.1714,0.24,0.228,PTBP1/TLE3___DAZAP1.zip
PTBP1,SNRPC,CHERP,0.275,0.0859,0.33,0.238,PTBP1/SNRPC___CHERP.zip
PTBP1,SMAP,SET,0.2741,0.1546,0.38,0.23,PTBP1/SMAP___SET.zip
PTBP1,CSTB,TXN,0.2732,0.1918,0.48,0.316,PTBP1/CSTB___TXN.zip
PTBP1,SRSF11,LUC7L2,0.2726,0.0545,0.43,0.188,PTBP1/SRSF11___LUC7L2.zip
PTBP1,NASP,SAR1A,0.2722,0.2194,0.38,0.398,PTBP1/NASP___SAR1A.zip
PTBP1,EPB41,PPP1R10,0.2713,0.0607,0.36,0.252,PTBP1/EPB41___PPP1R10.zip
PTBP1,NASP,MRPL12,0.269,0.1188,0.26,0.234,PTBP1/NASP___MRPL12.zip
PTBP1,ZNF503,DDX17,0.2678,0.0598,0.38,0.262,PTBP1/ZNF503___DDX17.zip
PTBP1,CSTB,RAVER1,0.2669,0.0702,0.71,0.384,PTBP1/CSTB___RAVER1.zip
PTBP1,SMAP,GFP,0.2664,0.0683,0.49,0.292,PTBP1/SMAP___GFP.zip
PTBP1,PRMT1,AGAP3,0.2657,0.0964,0.58,0.364,PTBP1/PRMT1___AGAP3.zip
PTBP1,CHERP,SRSF11,0.2644,0.1537,0.28,0.218,PTBP1/CHERP___SRSF11.zip
PTBP1,CHERP,GFP,0.2628,0.0971,0.3,0.28,PTBP1/CHERP___GFP.zip
PTBP1,SUGP2,CDC37,0.2612,0.0926,0.44,0.324,PTBP1/SUGP2___CDC37.zip
PTBP1,CSTB,SUPT5H,0.2586,0.0958,0.66,0.408,PTBP1/CSTB___SUPT5H.zip
PTBP1,SF1,FAM50A,0.2576,0.0515,0.36,0.176,PTBP1/SF1___FAM50A.zip
PTBP1,TLE3,CSTB,0.2573,0.152,0.65,0.51,PTBP1/TLE3___CSTB.zip
PTBP1,EPB41,SAFB,0.2558,0.1395,0.35,0.27,PTBP1/EPB41___SAFB.zip
PTBP1,PCBP2,PTBP1,0.2556,0.0511,0.41,0.208,PTBP1/PCBP2___PTBP1.zip
PTBP1,FAM50A,SRSF11,0.2555,0.1775,0.28,0.262,PTBP1/FAM50A___SRSF11.zip
PTBP1,TLE3,U2SURP,0.2553,0.0997,0.24,0.236,PTBP1/TLE3___U2SURP.zip
PTBP1,CSTB,PRDX1,0.2546,0.0509,0.5,0.22,PTBP1/CSTB___PRDX1.zip
PTBP1,ZFR,DDX17,0.254,0.1001,0.28,0.24,PTBP1/ZFR___DDX17.zip
PTBP1,SF1,PPP1R10,0.2537,0.1191,0.22,0.214,PTBP1/SF1___PPP1R10.zip
PTBP1,RPS12,ZBTB33,0.2524,0.0505,0.65,0.326,PTBP1/RPS12___ZBTB33.zip
PTBP1,EPB41,RPS12,0.2523,0.1621,0.62,0.578,PTBP1/EPB41___RPS12.zip
PTBP1,SF1,STIP1,0.2521,0.1273,0.27,0.258,PTBP1/SF1___STIP1.zip
PTBP1,SF1,DHX15,0.2521,0.0751,0.52,0.342,PTBP1/SF1___DHX15.zip
PTBP1,RB1,FAM50A,0.2517,0.0898,0.41,0.26,PTBP1/RB1___FAM50A.zip
PTBP1,TLE3,ZNF503,0.251,0.1455,0.34,0.266,PTBP1/TLE3___ZNF503.zip
PTBP1,FUS,CHERP,0.2509,0.0947,0.25,0.196,PTBP1/FUS___CHERP.zip
PTBP1,FUS,PPP1R10,0.2502,0.05,0.26,0.188,PTBP1/FUS___PPP1R10.zip
PTBP1,PTBP3,CDC37,0.2495,0.1538,0.33,0.274,PTBP1/PTBP3___CDC37.zip
PTBP1,SAFB,RB1,0.2492,0.1447,0.4,0.326,PTBP1/SAFB___RB1.zip
PTBP1,SNRPC,U2SURP,0.249,0.0498,0.33,0.212,PTBP1/SNRPC___U2SURP.zip
PTBP1,RB1,SF3A3,0.2488,0.1025,0.44,0.332,PTBP1/RB1___SF3A3.zip
PTBP1,NASP,XRN2,0.2478,0.0603,0.33,0.27,PTBP1/NASP___XRN2.zip
PTBP1,SF3B2,RPS12,0.2478,0.0496,0.59,0.26,PTBP1/SF3B2___RPS12.zip
PTBP1,CDK4,ZNF503,0.2476,0.0755,0.52,0.35,PTBP1/CDK4___ZNF503.zip
PTBP1,CCNT1,CHERP,0.2476,0.1528,0.36,0.324,PTBP1/CCNT1___CHERP.zip
PTBP1,SUGP2,FUS,0.247,0.0544,0.29,0.212,PTBP1/SUGP2___FUS.zip
PTBP1,SUGP2,FUBP3,0.2461,0.0492,0.28,0.208,PTBP1/SUGP2___FUBP3.zip
PTBP1,U2SURP,GFP,0.2457,0.0491,0.66,0.292,PTBP1/U2SURP___GFP.zip
PTBP1,CDC37,PPP1R10,0.2456,0.0638,0.39,0.276,PTBP1/CDC37___PPP1R10.zip
PTBP1,ZNF503,U2SURP,0.2447,0.0952,0.26,0.244,PTBP1/ZNF503___U2SURP.zip
PTBP1,SMAP,CCNT1,0.2443,0.1624,0.34,0.31,PTBP1/SMAP___CCNT1.zip
PTBP1,MRPL12,RB1,0.2437,0.192,0.39,0.378,PTBP1/MRPL12___RB1.zip
PTBP1,MATR3,PSPC1,0.2432,0.1237,0.35,0.306,PTBP1/MATR3___PSPC1.zip
PTBP1,STIP1,RBM33,0.2422,0.0608,0.32,0.258,PTBP1/STIP1___RBM33.zip
PTBP1,NASP,CHERP,0.2416,0.1859,0.33,0.294,PTBP1/NASP___CHERP.zip
PTBP1,SET,TLE3,0.2412,0.1017,0.27,0.212,PTBP1/SET___TLE3.zip
PTBP1,CSTB,RPS12,0.2405,0.0723,0.43,0.242,PTBP1/CSTB___RPS12.zip
PTBP1,RAVER1,U2SURP,0.2402,0.0855,0.22,0.204,PTBP1/RAVER1___U2SURP.zip
PTBP1,SUGP2,TLE3,0.2397,0.1089,0.39,0.308,PTBP1/SUGP2___TLE3.zip
PTBP1,RAVER1,STIP1,0.2389,0.0859,0.39,0.274,PTBP1/RAVER1___STIP1.zip
PTBP1,CHERP,CDC5L,0.2377,0.0816,0.24,0.208,PTBP1/CHERP___CDC5L.zip
PTBP1,EPB41,RBM4,0.2372,0.0474,0.31,0.212,PTBP1/EPB41___RBM4.zip
PTBP1,SF3B2,CDC37,0.2365,0.0826,0.28,0.224,PTBP1/SF3B2___CDC37.zip
PTBP1,TLE3,CDC37,0.2356,0.1216,0.34,0.254,PTBP1/TLE3___CDC37.zip
PTBP1,NCL,PDK1,0.2342,0.0671,0.62,0.376,PTBP1/NCL___PDK1.zip
PTBP1,CIZ1,CDC5L,0.2341,0.0468,0.24,0.186,PTBP1/CIZ1___CDC5L.zip
PTBP1,EPB41,STIP1,0.2326,0.0465,0.34,0.268,PTBP1/EPB41___STIP1.zip
PTBP1,RPS12,SF3A3,0.2306,0.0461,0.59,0.208,PTBP1/RPS12___SF3A3.zip
PTBP1,U2SURP,SRSF11,0.2305,0.0839,0.24,0.21,PTBP1/U2SURP___SRSF11.zip
PTBP1,DDX17,SRSF11,0.2297,0.0805,0.41,0.278,PTBP1/DDX17___SRSF11.zip
PTBP1,CDC37,PRDX1,0.2292,0.0458,0.63,0.306,PTBP1/CDC37___PRDX1.zip
PTBP1,FUBP1,ZBTB33,0.2288,0.0458,0.35,0.198,PTBP1/FUBP1___ZBTB33.zip
PTBP1,TLE3,PDK1,0.2281,0.1387,0.61,0.416,PTBP1/TLE3___PDK1.zip
PTBP1,SAFB,DNAJA1,0.2279,0.0764,0.4,0.264,PTBP1/SAFB___DNAJA1.zip
PTBP1,RBM4,CCNT1,0.2275,0.0746,0.32,0.232,PTBP1/RBM4___CCNT1.zip
PTBP1,NONO,SMAP,0.2272,0.0509,0.37,0.2,PTBP1/NONO___SMAP.zip
PTBP1,SRSF11,DHX15,0.226,0.0717,0.48,0.334,PTBP1/SRSF11___DHX15.zip
PTBP1,TLE3,ANP32A,0.2255,0.1764,0.29,0.236,PTBP1/TLE3___ANP32A.zip
PTBP1,PDK1,SLC3A2,0.224,0.0878,0.55,0.328,PTBP1/PDK1___SLC3A2.zip
PTBP1,RBM4,SF3A3,0.2235,0.0694,0.33,0.24,PTBP1/RBM4___SF3A3.zip
PTBP1,SAR1A,ZNF503,0.2231,0.0859,0.49,0.354,PTBP1/SAR1A___ZNF503.zip
