source,target,screen,ilis,lis,clis,iptm,score,bundle
CIZ1,PSPC1,PTBP1,0.3512,0.238,0.5181,0.47,3,PTBP1/CIZ1___PSPC1.zip
CCNT1,ZNF503,PTBP1,0.3507,0.2862,0.4297,0.32,3,PTBP1/CCNT1___ZNF503.zip
SF1,PCCA,PTBP1,0.35,0.1974,0.6207,0.52,5,PTBP1/SF1___PCCA.zip
ATP5PD,EDC3,PTBP1,0.3485,0.2216,0.5481,0.4,3,PTBP1/ATP5PD___EDC3.zip
CIZ1,SET,PTBP1,0.3462,0.2409,0.4977,0.57,5,PTBP1/CIZ1___SET.zip
TXN,SF1,PTBP1,0.3432,0.289,0.4076,0.74,5,PTBP1/TXN___SF1.zip
CDC37,ZNF503,PTBP1,0.3419,0.2782,0.4203,0.45,3,PTBP1/CDC37___ZNF503.zip
PTBP3,PPP1R10,PTBP1,0.3412,0.2419,0.4813,0.27,3,PTBP1/PTBP3___PPP1R10.zip
FUBP1,CHERP,PTBP1,0.3406,0.2514,0.4616,0.22,3,PTBP1/FUBP1___CHERP.zip
CIZ1,CDC37,PTBP1,0.3393,0.2357,0.4884,0.42,3,PTBP1/CIZ1___CDC37.zip
NASP,ZFR,PTBP1,0.339,0.2578,0.4457,0.36,3,PTBP1/NASP___ZFR.zip
SMAP,CDC37,PTBP1,0.3386,0.2823,0.4061,0.32,3,PTBP1/SMAP___CDC37.zip
MRPL12,PDK1,PTBP1,0.3385,0.2765,0.4143,0.54,5,PTBP1/MRPL12___PDK1.zip
FUBP3,FAM50A,PTBP1,0.3366,0.2383,0.4754,0.41,3,PTBP1/FUBP3___FAM50A.zip
ANP32A,FAM50A,PTBP1,0.3359,0.2588,0.4359,0.48,4,PTBP1/ANP32A___FAM50A.zip
SF1,LUC7L2,PTBP1,0.3336,0.2054,0.5416,0.52,5,PTBP1/SF1___LUC7L2.zip
TLE3,PPP1R10,PTBP1,0.3332,0.2781,0.3992,0.41,3,PTBP1/TLE3___PPP1R10.zip
ZFR,HMGB1,PTBP1,0.3321,0.2341,0.4711,0.39,3,PTBP1/ZFR___HMGB1.zip
XRN2,SAFB,PTBP1,0.3315,0.2394,0.4591,0.52,5,PTBP1/XRN2___SAFB.zip
CIZ1,RB1,PTBP1,0.3309,0.2564,0.4269,0.48,4,PTBP1/CIZ1___RB1.zip
PTBP3,TLE3,PTBP1,0.3303,0.2814,0.3878,0.35,3,PTBP1/PTBP3___TLE3.zip
FUS,SRSF11,PTBP1,0.3296,0.2527,0.43,0.18,3,PTBP1/FUS___SRSF11.zip
SF1,ANP32A,PTBP1,0.329,0.2737,0.3955,0.52,4,PTBP1/SF1___ANP32A.zip
SUGP2,GFP,PTBP1,0.3285,0.241,0.4476,0.72,5,PTBP1/SUGP2___GFP.zip
RAVER1,RBM33,PTBP1,0.3276,0.2275,0.4716,0.42,3,PTBP1/RAVER1___RBM33.zip
NASP,STIP1,PTBP1,0.3272,0.2523,0.4245,0.39,3,PTBP1/NASP___STIP1.zip
MATR3,XRN2,PTBP1,0.3268,0.204,0.5235,0.56,5,PTBP1/MATR3___XRN2.zip
MATR3,HMGB1,PTBP1,0.3259,0.2205,0.4817,0.43,3,PTBP1/MATR3___HMGB1.zip
SUPT5H,ZBTB33,PTBP1,0.3253,0.2011,0.5263,0.27,3,PTBP1/SUPT5H___ZBTB33.zip
STIP1,ANP32A,PTBP1,0.323,0.2563,0.407,0.3,3,PTBP1/STIP1___ANP32A.zip
FUS,GFP,PTBP1,0.3214,0.2257,0.4578,0.69,5,PTBP1/FUS___GFP.zip
U2SURP,DHX15,PTBP1,0.3212,0.2267,0.4551,0.57,5,PTBP1/U2SURP___DHX15.zip
PRMT1,RBM4,PTBP1,0.321,0.2782,0.3703,0.6,5,PTBP1/PRMT1___RBM4.zip
SF3B2,PPP1R10,PTBP1,0.3192,0.2229,0.4571,0.24,3,PTBP1/SF3B2___PPP1R10.zip
FUS,ZBTB33,PTBP1,0.3191,0.2217,0.4593,0.26,3,PTBP1/FUS___ZBTB33.zip
ANP32A,ZBTB33,PTBP1,0.3186,0.2485,0.4085,0.52,4,PTBP1/ANP32A___ZBTB33.zip
NASP,SAFB,PTBP1,0.3185,0.2597,0.3907,0.32,3,PTBP1/NASP___SAFB.zip
MATR3,TLE3,PTBP1,0.3176,0.2041,0.4942,0.4,3,PTBP1/MATR3___TLE3.zip
FUS,U2SURP,PTBP1,0.3167,0.2561,0.3916,0.23,3,PTBP1/FUS___U2SURP.zip
EPB41,CCNT1,PTBP1,0.3156,0.238,0.4185,0.4,3,PTBP1/EPB41___CCNT1.zip
EDC3,RBM4,PTBP1,0.3155,0.2544,0.3913,0.42,3,PTBP1/EDC3___RBM4.zip
NASP,TLE3,PTBP1,0.3145,0.251,0.394,0.33,3,PTBP1/NASP___TLE3.zip
SMAP,RBM4,PTBP1,0.3095,0.2193,0.4366,0.25,3,PTBP1/SMAP___RBM4.zip
SF3A3,RBM33,PTBP1,0.309,0.1948,0.4902,0.45,3,PTBP1/SF3A3___RBM33.zip
EPB41,LUC7L2,PTBP1,0.3071,0.249,0.3787,0.34,3,PTBP1/EPB41___LUC7L2.zip
SUGP2,ATP5PD,PTBP1,0.3056,0.1867,0.5002,0.48,4,PTBP1/SUGP2___ATP5PD.zip
CSTB,SF1,PTBP1,0.3052,0.2106,0.4424,0.73,5,PTBP1/CSTB___SF1.zip
SUPT5H,CCNT1,PTBP1,0.3047,0.2342,0.3963,0.35,3,PTBP1/SUPT5H___CCNT1.zip
NASP,ZNF503,PTBP1,0.3029,0.2599,0.353,0.32,3,PTBP1/NASP___ZNF503.zip
NASP,CCNT1,PTBP1,0.3018,0.2319,0.3928,0.31,3,PTBP1/NASP___CCNT1.zip
ANP32A,CDC5L,PTBP1,0.3016,0.2208,0.4119,0.54,5,PTBP1/ANP32A___CDC5L.zip
DAZAP1,AGAP3,PTBP1,0.3016,0.2447,0.3717,0.31,3,PTBP1/DAZAP1___AGAP3.zip
CCAR2,CCNT1,PTBP1,0.3016,0.2213,0.411,0.34,3,PTBP1/CCAR2___CCNT1.zip
CDC37,FAM50A,PTBP1,0.3003,0.2117,0.426,0.33,3,PTBP1/CDC37___FAM50A.zip
PRMT1,KHSRP,PTBP1,0.2965,0.2411,0.3646,0.61,5,PTBP1/PRMT1___KHSRP.zip
CIZ1,DDX17,PTBP1,0.2961,0.2002,0.4379,0.44,3,PTBP1/CIZ1___DDX17.zip
CCNT1,DAZAP1,PTBP1,0.2955,0.23,0.3796,0.28,3,PTBP1/CCNT1___DAZAP1.zip
NASP,RB1,PTBP1,0.2943,0.243,0.3563,0.36,3,PTBP1/NASP___RB1.zip
MATR3,SFPQ,PTBP1,0.2936,0.2265,0.3805,0.32,3,PTBP1/MATR3___SFPQ.zip
TLE3,FUS,PTBP1,0.2921,0.215,0.3968,0.41,3,PTBP1/TLE3___FUS.zip
ZNF503,RBM33,PTBP1,0.2896,0.2027,0.4138,0.21,3,PTBP1/ZNF503___RBM33.zip
KHSRP,CCNT1,PTBP1,0.2895,0.2111,0.3969,0.34,3,PTBP1/KHSRP___CCNT1.zip
CCAR2,RB1,PTBP1,0.2877,0.2132,0.3884,0.45,3,PTBP1/CCAR2___RB1.zip
PPP1R10,PTBP1,PTBP1,0.2871,0.2113,0.3901,0.28,3,PTBP1/PPP1R10___PTBP1.zip
NASP,U2SURP,PTBP1,0.2869,0.2141,0.3846,0.28,3,PTBP1/NASP___U2SURP.zip
ZFR,NCL,PTBP1,0.2869,0.2165,0.3801,0.33,3,PTBP1/ZFR___NCL.zip
NASP,DNAJA1,PTBP1,0.2862,0.1917,0.4272,0.48,4,PTBP1/NASP___DNAJA1.zip
ANP32A,DNAJA1,PTBP1,0.2855,0.2157,0.3779,0.34,3,PTBP1/ANP32A___DNAJA1.zip
SF1,U2SURP,PTBP1,0.2847,0.2095,0.387,0.28,3,PTBP1/SF1___U2SURP.zip
FAM50A,CDC5L,PTBP1,0.2834,0.2036,0.3944,0.35,3,PTBP1/FAM50A___CDC5L.zip
CIZ1,ANP32A,PTBP1,0.2832,0.1985,0.4042,0.46,3,PTBP1/CIZ1___ANP32A.zip
SUGP2,SET,PTBP1,0.2832,0.199,0.4028,0.53,4,PTBP1/SUGP2___SET.zip
FUBP1,U2SURP,PTBP1,0.2825,0.2024,0.3943,0.29,3,PTBP1/FUBP1___U2SURP.zip
PDK1,SRSF11,PTBP1,0.2822,0.2198,0.3623,0.47,3,PTBP1/PDK1___SRSF11.zip
STIP1,PPP1R10,PTBP1,0.2819,0.1742,0.4562,0.35,3,PTBP1/STIP1___PPP1R10.zip
NASP,AGAP3,PTBP1,0.2809,0.2242,0.3519,0.33,3,PTBP1/NASP___AGAP3.zip
MATR3,PPP1R10,PTBP1,0.2808,0.2207,0.3573,0.25,3,PTBP1/MATR3___PPP1R10.zip
SMAP,SUPT5H,PTBP1,0.2808,0.2217,0.3557,0.31,3,PTBP1/SMAP___SUPT5H.zip
CHERP,PCCA,PTBP1,0.2803,0.1382,0.5684,0.47,2,PTBP1/CHERP___PCCA.zip
AGAP3,PTBP1,PTBP1,0.279,0.1785,0.4363,0.29,3,PTBP1/AGAP3___PTBP1.zip
SUGP2,ZNF503,PTBP1,0.2788,0.2016,0.3856,0.26,3,PTBP1/SUGP2___ZNF503.zip
SF1,FUBP3,PTBP1,0.2785,0.1798,0.4313,0.27,3,PTBP1/SF1___FUBP3.zip
CDK4,TXN,PTBP1,0.2781,0.1759,0.4397,0.62,5,PTBP1/CDK4___TXN.zip
EPB41,RB1,PTBP1,0.278,0.2015,0.3837,0.44,3,PTBP1/EPB41___RB1.zip
CIZ1,EPB41,PTBP1,0.2774,0.1977,0.3895,0.37,3,PTBP1/CIZ1___EPB41.zip
EPB41,NCL,PTBP1,0.2774,0.2152,0.3575,0.36,3,PTBP1/EPB41___NCL.zip
SF3B2,EPB41,PTBP1,0.2774,0.2208,0.3484,0.37,3,PTBP1/SF3B2___EPB41.zip
TLE3,DAZAP1,PTBP1,0.276,0.2432,0.3132,0.24,3,PTBP1/TLE3___DAZAP1.zip
SNRPC,CHERP,PTBP1,0.275,0.1858,0.4069,0.33,3,PTBP1/SNRPC___CHERP.zip
SMAP,SET,PTBP1,0.2741,0.2287,0.3284,0.38,3,PTBP1/SMAP___SET.zip
CSTB,TXN,PTBP1,0.2732,0.2168,0.3443,0.48,5,PTBP1/CSTB___TXN.zip
SRSF11,LUC7L2,PTBP1,0.2726,0.17,0.4373,0.43,3,PTBP1/SRSF11___LUC7L2.zip
NASP,SAR1A,PTBP1,0.2722,0.2099,0.3531,0.38,3,PTBP1/NASP___SAR1A.zip
EPB41,PPP1R10,PTBP1,0.2713,0.218,0.3376,0.36,3,PTBP1/EPB41___PPP1R10.zip
NASP,MRPL12,PTBP1,0.269,0.2085,0.347,0.26,3,PTBP1/NASP___MRPL12.zip
ZNF503,DDX17,PTBP1,0.2678,0.2091,0.343,0.38,3,PTBP1/ZNF503___DDX17.zip
CSTB,RAVER1,PTBP1,0.2669,0.1746,0.4079,0.71,5,PTBP1/CSTB___RAVER1.zip
SMAP,GFP,PTBP1,0.2664,0.2213,0.3206,0.49,5,PTBP1/SMAP___GFP.zip
PRMT1,AGAP3,PTBP1,0.2657,0.1621,0.4354,0.58,4,PTBP1/PRMT1___AGAP3.zip
CHERP,SRSF11,PTBP1,0.2644,0.2217,0.3153,0.28,3,PTBP1/CHERP___SRSF11.zip
CHERP,GFP,PTBP1,0.2628,0.2261,0.3053,0.3,3,PTBP1/CHERP___GFP.zip
SUGP2,CDC37,PTBP1,0.2612,0.2196,0.3107,0.44,3,PTBP1/SUGP2___CDC37.zip
CSTB,SUPT5H,PTBP1,0.2586,0.1657,0.4036,0.66,4,PTBP1/CSTB___SUPT5H.zip
SF1,FAM50A,PTBP1,0.2576,0.1511,0.4393,0.36,2,PTBP1/SF1___FAM50A.zip
TLE3,CSTB,PTBP1,0.2573,0.1911,0.3463,0.65,5,PTBP1/TLE3___CSTB.zip
EPB41,SAFB,PTBP1,0.2558,0.2094,0.3126,0.35,3,PTBP1/EPB41___SAFB.zip
PCBP2,PTBP1,PTBP1,0.2556,0.1565,0.4176,0.41,2,PTBP1/PCBP2___PTBP1.zip
FAM50A,SRSF11,PTBP1,0.2555,0.2119,0.3081,0.28,3,PTBP1/FAM50A___SRSF11.zip
TLE3,U2SURP,PTBP1,0.2553,0.161,0.405,0.24,2,PTBP1/TLE3___U2SURP.zip
CSTB,PRDX1,PTBP1,0.2546,0.1706,0.3799,0.5,5,PTBP1/CSTB___PRDX1.zip
ZFR,DDX17,PTBP1,0.254,0.2065,0.3124,0.28,3,PTBP1/ZFR___DDX17.zip
SF1,PPP1R10,PTBP1,0.2537,0.207,0.3109,0.22,3,PTBP1/SF1___PPP1R10.zip
RPS12,ZBTB33,PTBP1,0.2524,0.1999,0.3187,0.65,5,PTBP1/RPS12___ZBTB33.zip
EPB41,RPS12,PTBP1,0.2523,0.1832,0.3473,0.62,5,PTBP1/EPB41___RPS12.zip
SF1,STIP1,PTBP1,0.2521,0.1993,0.3188,0.27,3,PTBP1/SF1___STIP1.zip
SF1,DHX15,PTBP1,0.2521,0.1699,0.3739,0.52,5,PTBP1/SF1___DHX15.zip
RB1,FAM50A,PTBP1,0.2517,0.1785,0.3548,0.41,3,PTBP1/RB1___FAM50A.zip
TLE3,ZNF503,PTBP1,0.251,0.2078,0.3033,0.34,3,PTBP1/TLE3___ZNF503.zip
FUS,CHERP,PTBP1,0.2509,0.1797,0.3504,0.25,3,PTBP1/FUS___CHERP.zip
FUS,PPP1R10,PTBP1,0.2502,0.1913,0.3272,0.26,3,PTBP1/FUS___PPP1R10.zip
PTBP3,CDC37,PTBP1,0.2495,0.2091,0.2978,0.33,3,PTBP1/PTBP3___CDC37.zip
SAFB,RB1,PTBP1,0.2492,0.1973,0.3148,0.4,3,PTBP1/SAFB___RB1.zip
SNRPC,U2SURP,PTBP1,0.249,0.1971,0.3145,0.33,3,PTBP1/SNRPC___U2SURP.zip
RB1,SF3A3,PTBP1,0.2488,0.1672,0.3702,0.44,2,PTBP1/RB1___SF3A3.zip
NASP,XRN2,PTBP1,0.2478,0.1648,0.3726,0.33,2,PTBP1/NASP___XRN2.zip
SF3B2,RPS12,PTBP1,0.2478,0.1586,0.3872,0.59,4,PTBP1/SF3B2___RPS12.zip
CCNT1,CHERP,PTBP1,0.2476,0.1688,0.3633,0.36,3,PTBP1/CCNT1___CHERP.zip
CDK4,ZNF503,PTBP1,0.2476,0.2234,0.2744,0.52,4,PTBP1/CDK4___ZNF503.zip
SUGP2,FUS,PTBP1,0.247,0.1939,0.3146,0.29,3,PTBP1/SUGP2___FUS.zip
SUGP2,FUBP3,PTBP1,0.2461,0.1517,0.3993,0.28,2,PTBP1/SUGP2___FUBP3.zip
U2SURP,GFP,PTBP1,0.2457,0.1365,0.4423,0.66,4,PTBP1/U2SURP___GFP.zip
CDC37,PPP1R10,PTBP1,0.2456,0.2114,0.2854,0.39,2,PTBP1/CDC37___PPP1R10.zip
ZNF503,U2SURP,PTBP1,0.2447,0.188,0.3185,0.26,3,PTBP1/ZNF503___U2SURP.zip
SMAP,CCNT1,PTBP1,0.2443,0.1818,0.3283,0.34,3,PTBP1/SMAP___CCNT1.zip
MRPL12,RB1,PTBP1,0.2437,0.1901,0.3124,0.39,3,PTBP1/MRPL12___RB1.zip
MATR3,PSPC1,PTBP1,0.2432,0.1809,0.327,0.35,3,PTBP1/MATR3___PSPC1.zip
STIP1,RBM33,PTBP1,0.2422,0.207,0.2833,0.32,2,PTBP1/STIP1___RBM33.zip
NASP,CHERP,PTBP1,0.2416,0.2027,0.288,0.33,2,PTBP1/NASP___CHERP.zip
SET,TLE3,PTBP1,0.2412,0.2009,0.2896,0.27,2,PTBP1/SET___TLE3.zip
CSTB,RPS12,PTBP1,0.2405,0.1712,0.3379,0.43,3,PTBP1/CSTB___RPS12.zip
RAVER1,U2SURP,PTBP1,0.2402,0.1885,0.3062,0.22,3,PTBP1/RAVER1___U2SURP.zip
SUGP2,TLE3,PTBP1,0.2397,0.1964,0.2924,0.39,2,PTBP1/SUGP2___TLE3.zip
RAVER1,STIP1,PTBP1,0.2389,0.1566,0.3646,0.39,2,PTBP1/RAVER1___STIP1.zip
CHERP,CDC5L,PTBP1,0.2377,0.1881,0.3004,0.24,3,PTBP1/CHERP___CDC5L.zip
EPB41,RBM4,PTBP1,0.2372,0.195,0.2885,0.31,2,PTBP1/EPB41___RBM4.zip
SF3B2,CDC37,PTBP1,0.2365,0.1833,0.3051,0.28,3,PTBP1/SF3B2___CDC37.zip
TLE3,CDC37,PTBP1,0.2356,0.2049,0.2709,0.34,2,PTBP1/TLE3___CDC37.zip
NCL,PDK1,PTBP1,0.2342,0.1673,0.328,0.62,4,PTBP1/NCL___PDK1.zip
CIZ1,CDC5L,PTBP1,0.2341,0.1667,0.3288,0.24,2,PTBP1/CIZ1___CDC5L.zip
EPB41,STIP1,PTBP1,0.2326,0.1895,0.2855,0.34,2,PTBP1/EPB41___STIP1.zip
RPS12,SF3A3,PTBP1,0.2306,0.1524,0.3488,0.59,4,PTBP1/RPS12___SF3A3.zip
U2SURP,SRSF11,PTBP1,0.2305,0.1917,0.277,0.24,2,PTBP1/U2SURP___SRSF11.zip
DDX17,SRSF11,PTBP1,0.2297,0.1733,0.3046,0.41,3,PTBP1/DDX17___SRSF11.zip
CDC37,PRDX1,PTBP1,0.2292,0.1783,0.2946,0.63,4,PTBP1/CDC37___PRDX1.zip
FUBP1,ZBTB33,PTBP1,0.2288,0.1407,0.3719,0.35,2,PTBP1/FUBP1___ZBTB33.zip
TLE3,PDK1,PTBP1,0.2281,0.1434,0.3628,0.61,4,PTBP1/TLE3___PDK1.zip
SAFB,DNAJA1,PTBP1,0.2279,0.1805,0.2877,0.4,2,PTBP1/SAFB___DNAJA1.zip
RBM4,CCNT1,PTBP1,0.2275,0.1722,0.3006,0.32,3,PTBP1/RBM4___CCNT1.zip
NONO,SMAP,PTBP1,0.2272,0.1818,0.2838,0.37,2,PTBP1/NONO___SMAP.zip
SRSF11,DHX15,PTBP1,0.226,0.1778,0.2872,0.48,3,PTBP1/SRSF11___DHX15.zip
TLE3,ANP32A,PTBP1,0.2255,0.1927,0.2638,0.29,2,PTBP1/TLE3___ANP32A.zip
PDK1,SLC3A2,PTBP1,0.224,0.1648,0.3046,0.55,4,PTBP1/PDK1___SLC3A2.zip
RBM4,SF3A3,PTBP1,0.2235,0.1614,0.3095,0.33,2,PTBP1/RBM4___SF3A3.zip
SAR1A,ZNF503,PTBP1,0.2231,0.1597,0.3118,0.49,3,PTBP1/SAR1A___ZNF503.zip
