gene,screen,is_bait,uniprot,entrez,degree,log2fc,neglogp,location,length,function
SF3B2,PTBP1,0,Q13435,10992,7,1.714,2.42,Nucleus,895,Involved in pre-mRNA splicing as a component of the splicing factor SF3B complex (PubMed:27720643). SF3B complex is required for 'A' complex assembly formed by the stable binding of U2 snRNP to the branchpoint sequence (BPS) in pre-mRNA. S…
SFPQ,PTBP1,0,P23246,6421,5,2.016,3.983,Nucleus,707,"DNA- and RNA binding protein, involved in several nuclear processes. Essential pre-mRNA splicing factor required early in spliceosome formation and for splicing catalytic step II, probably as a heteromer with NONO. Binds to pre-mRNA in spl…"
SLC3A2,PTBP1,0,P08195,6520,1,1.317,1.899,Membrane,630,"Component of several heterodimeric complexes involved in amino acid transport (PubMed:11557028, PubMed:9829974, PubMed:9751058, PubMed:10391915, PubMed:10574970, PubMed:11311135, PubMed:30341327). The precise substrate specificity depends …"
SMAP,PTBP1,0,O00193,10944,16,3.28,2.672,Unknown,183,
SNRPC,PTBP1,0,P09234,6631,7,3.951,2.907,Nucleus,159,"Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. SNRPC/U1-C is directly involved in initial 5' splice-site recognition for both consti…"
SRSF11,PTBP1,0,Q05519,9295,22,2.2,1.449,Nucleus,484,May function in pre-mRNA splicing.
STIP1,PTBP1,0,P31948,10963,9,1.616,1.927,Nucleus,543,Acts as a co-chaperone for HSP90AA1 (PubMed:27353360). Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90 (By similarity). .
SUGP2,PTBP1,0,Q8IX01,10147,13,2.576,3.893,Nucleus,1082,May play a role in mRNA splicing. .
SUPT5H,PTBP1,0,O00267,6829,5,1.195,2.203,Nucleus,1087,"Component of the DRB sensitivity-inducing factor complex (DSIF complex), which regulates mRNA processing and transcription elongation by RNA polymerase II. DSIF positively regulates mRNA capping by stimulating the mRNA guanylyltransferase …"
TLE3,PTBP1,0,Q04726,7090,25,1.828,2.377,Nucleus,772,Transcriptional corepressor that binds to a number of transcription factors. Inhibits the transcriptional activation mediated by CTNNB1 and TCF family members in Wnt signaling. The effects of full-length TLE family members may be modulated…
TXN,PTBP1,0,P10599,7295,11,2.708,2.158,Nucleus,105,"Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions (PubMed:2176490, PubMed:17182577, PubMed:19032234). Plays a role in the…"
U2SURP,PTBP1,0,O15042,23350,14,1.462,1.473,Nucleus,1029,
XRN2,PTBP1,0,Q9H0D6,22803,3,3.678,2.771,Nucleus,950,"Possesses 5'->3' exoribonuclease activity (By similarity). May promote the termination of transcription by RNA polymerase II. During transcription termination, cleavage at the polyadenylation site liberates a 5' fragment which is subsequen…"
ZBTB33,PTBP1,0,Q86T24,10009,14,1.259,1.882,Nucleus,672,Transcriptional regulator with bimodal DNA-binding specificity. Binds to methylated CpG dinucleotides in the consensus sequence 5'-CGCG-3' and also binds to the non-methylated consensus sequence 5'-CTGCNA-3' also known as the consensus kai…
ZFR,PTBP1,0,Q96KR1,51663,15,2.544,2.18,Nucleus,1074,Involved in postimplantation and gastrulation stages of development. Involved in the nucleocytoplasmic shuttling of STAU2. Binds to DNA and RNA (By similarity). .
ZNF503,PTBP1,0,Q96F45,84858,17,3.86,1.846,Nucleus,646,May function as a transcriptional repressor. .
